               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.042777,            0.049359,           0.0042021,             0.79324,             0.66819,             0.68012,             0.32347,            0.029095,            0.062736,            0.003055,           0.0078814,           0.0078814,           0.0078814
                 109,             0.04141,            0.049896,           0.0038497,             0.66483,             0.74573,             0.68314,              0.3157,            0.030072,            0.064868,           0.0028367,           0.0078616,           0.0078616,           0.0078616
                 110,            0.044287,            0.051538,           0.0040313,             0.80232,             0.72181,             0.71735,              0.3454,            0.029085,            0.063396,            0.002718,           0.0078418,           0.0078418,           0.0078418
                 111,             0.04268,            0.049026,           0.0049155,              0.7627,             0.73294,             0.72062,             0.35493,            0.026269,            0.062197,           0.0028141,            0.007822,            0.007822,            0.007822
                 112,            0.041189,             0.04812,           0.0035353,             0.84437,             0.71205,             0.73208,             0.36538,            0.026497,            0.063156,           0.0028999,           0.0078022,           0.0078022,           0.0078022
                 113,            0.045021,            0.047151,           0.0047206,             0.85666,             0.73623,             0.75229,             0.36708,            0.025711,            0.063151,           0.0031157,           0.0077824,           0.0077824,           0.0077824
                 114,            0.044307,            0.047339,           0.0036383,             0.76191,             0.72581,              0.7255,             0.36165,            0.027754,            0.062994,           0.0032135,           0.0077626,           0.0077626,           0.0077626
                 115,            0.042869,            0.050842,           0.0048392,             0.82688,              0.7194,             0.72911,             0.36711,            0.026612,            0.062606,           0.0035007,           0.0077428,           0.0077428,           0.0077428
                 116,            0.042447,            0.049162,            0.004322,             0.78552,             0.69953,             0.70675,             0.36077,            0.027148,            0.062696,           0.0033022,            0.007723,            0.007723,            0.007723
                 117,            0.041474,             0.04795,           0.0046472,             0.78189,             0.70476,             0.72232,             0.36041,            0.027781,            0.063678,           0.0032661,           0.0077032,           0.0077032,           0.0077032
                 118,            0.044418,            0.047944,           0.0041681,             0.76816,             0.71399,             0.72588,             0.35887,            0.027307,            0.063633,           0.0033291,           0.0076834,           0.0076834,           0.0076834
                 119,            0.041858,            0.048014,           0.0046963,             0.71939,             0.75811,             0.71936,             0.36709,            0.026034,            0.062385,           0.0036106,           0.0076636,           0.0076636,           0.0076636
                 120,            0.040686,            0.047012,           0.0044929,             0.80127,             0.71731,             0.72305,             0.36995,            0.026507,            0.062323,           0.0036793,           0.0076438,           0.0076438,           0.0076438
                 121,            0.041482,            0.047844,           0.0045467,             0.71243,             0.67328,             0.67019,             0.34975,            0.026052,            0.062987,           0.0030416,            0.007624,            0.007624,            0.007624
                 122,            0.044206,              0.0486,           0.0042291,             0.75922,             0.68929,             0.69516,             0.35816,            0.026783,            0.063997,           0.0031334,           0.0076042,           0.0076042,           0.0076042
                 123,            0.042187,            0.049286,           0.0034927,               0.748,             0.71941,             0.69252,             0.33775,            0.027362,            0.063649,           0.0028934,           0.0075844,           0.0075844,           0.0075844
                 124,            0.042763,            0.049203,           0.0036918,             0.81233,             0.71288,             0.70541,             0.31762,            0.030662,            0.064579,           0.0029657,           0.0075646,           0.0075646,           0.0075646
                 125,            0.043309,            0.048486,           0.0036608,             0.79626,             0.72628,             0.72179,             0.37107,            0.025954,            0.061835,           0.0036507,           0.0075448,           0.0075448,           0.0075448
                 126,            0.042669,            0.053756,           0.0041401,              0.8265,             0.73491,             0.72934,             0.37421,            0.026122,            0.061489,           0.0036581,            0.007525,            0.007525,            0.007525
                 127,            0.042558,            0.049524,            0.005713,              0.7789,             0.73061,               0.722,             0.36241,            0.027678,            0.062287,           0.0037863,           0.0075052,           0.0075052,           0.0075052
                 128,            0.042922,            0.045702,            0.003547,             0.78261,             0.70432,             0.72496,             0.37105,            0.026805,            0.061317,           0.0039385,           0.0074854,           0.0074854,           0.0074854
                 129,            0.041478,            0.048046,           0.0034346,             0.83317,             0.70711,             0.73779,             0.36911,            0.026459,            0.062094,           0.0036999,           0.0074656,           0.0074656,           0.0074656
                 130,            0.038961,            0.046586,           0.0033542,             0.81418,             0.71093,             0.71994,             0.35806,            0.027506,            0.062684,           0.0033588,           0.0074458,           0.0074458,           0.0074458
                 131,            0.041773,            0.050419,           0.0033549,             0.76226,              0.7416,             0.72065,             0.36783,            0.025602,             0.06158,           0.0029838,            0.007426,            0.007426,            0.007426
                 132,            0.042812,            0.048255,           0.0039187,             0.76451,             0.72243,               0.707,             0.35522,            0.026857,             0.06269,           0.0029637,           0.0074062,           0.0074062,           0.0074062
                 133,             0.03845,            0.047875,           0.0034149,             0.75643,             0.72355,             0.71353,             0.36623,            0.025809,            0.062493,           0.0027263,           0.0073864,           0.0073864,           0.0073864
                 134,            0.041535,             0.04728,           0.0033992,             0.79427,              0.7349,              0.7298,             0.36356,            0.026042,            0.063489,           0.0026779,           0.0073666,           0.0073666,           0.0073666
                 135,            0.040011,            0.048986,           0.0041666,             0.75899,             0.72388,             0.70704,             0.34371,            0.026868,            0.064406,           0.0029806,           0.0073468,           0.0073468,           0.0073468
                 136,            0.041408,             0.05054,           0.0049479,             0.79647,             0.72632,             0.71208,             0.35053,            0.029236,            0.065067,           0.0028167,            0.007327,            0.007327,            0.007327
                 137,            0.042012,            0.049418,           0.0044737,             0.82513,             0.71377,             0.72439,             0.32744,            0.029467,            0.065535,           0.0033205,           0.0073072,           0.0073072,           0.0073072
                 138,            0.040489,            0.049925,           0.0037346,             0.79407,             0.69242,              0.6996,             0.34433,            0.028712,            0.064777,            0.003285,           0.0072874,           0.0072874,           0.0072874
                 139,             0.04061,            0.046626,           0.0036604,             0.68869,             0.67399,              0.6532,             0.35593,             0.02516,            0.062995,           0.0028825,           0.0072676,           0.0072676,           0.0072676
                 140,            0.040092,            0.047672,           0.0038577,             0.71914,             0.67709,             0.67617,             0.36416,            0.026085,            0.063095,            0.003134,           0.0072478,           0.0072478,           0.0072478
                 141,            0.041592,             0.04895,           0.0041113,             0.68936,             0.66167,              0.6536,             0.35233,            0.025524,            0.063273,            0.003966,            0.007228,            0.007228,            0.007228
                 142,            0.040974,            0.048211,           0.0036992,              0.7193,             0.67934,             0.66652,             0.34462,            0.026386,            0.063921,            0.003915,           0.0072082,           0.0072082,           0.0072082
                 143,            0.037508,            0.046811,           0.0044582,             0.63818,             0.66255,             0.65242,             0.32547,            0.027766,            0.063906,           0.0035185,           0.0071884,           0.0071884,           0.0071884
                 144,            0.040606,            0.047493,           0.0039388,             0.76143,             0.70963,             0.70006,             0.35308,            0.026768,            0.063211,            0.003186,           0.0071686,           0.0071686,           0.0071686
                 145,            0.039674,            0.045759,           0.0038008,             0.64174,             0.68904,             0.66436,             0.33744,            0.026809,            0.064231,           0.0030693,           0.0071488,           0.0071488,           0.0071488
                 146,            0.039356,            0.048366,           0.0034985,             0.71897,             0.69245,             0.68534,             0.35023,            0.026249,            0.063842,           0.0030138,            0.007129,            0.007129,            0.007129
                 147,            0.037775,            0.047751,           0.0036123,             0.73858,             0.72135,              0.6923,             0.35292,            0.025448,            0.063235,           0.0029357,           0.0071092,           0.0071092,           0.0071092
                 148,            0.039892,            0.046611,           0.0045876,              0.7335,             0.71116,              0.6834,             0.33831,            0.026783,            0.063183,           0.0028702,           0.0070894,           0.0070894,           0.0070894
                 149,            0.037474,            0.049312,           0.0057793,             0.83969,             0.73702,             0.71785,             0.35205,            0.026682,            0.063611,           0.0026579,           0.0070696,           0.0070696,           0.0070696
                 150,            0.040802,            0.048365,           0.0040084,             0.85519,             0.73031,             0.72801,             0.35789,            0.027572,             0.06413,           0.0026994,           0.0070498,           0.0070498,           0.0070498
                 151,            0.038817,            0.045622,           0.0035736,             0.80198,             0.71223,             0.69653,             0.35808,            0.025378,            0.063225,             0.00271,             0.00703,             0.00703,             0.00703
                 152,            0.040842,            0.047191,           0.0055552,             0.71179,             0.71179,             0.67225,               0.336,            0.026472,            0.063673,           0.0026339,           0.0070102,           0.0070102,           0.0070102
                 153,            0.037798,            0.046877,           0.0035438,             0.82313,             0.72302,             0.72313,             0.37266,            0.026201,            0.063649,           0.0027646,           0.0069904,           0.0069904,           0.0069904
                 154,             0.03884,            0.047875,           0.0044054,             0.87041,             0.68639,             0.72586,             0.37973,            0.025273,            0.063589,           0.0031683,           0.0069706,           0.0069706,           0.0069706
                 155,            0.038651,             0.04995,           0.0034175,             0.81891,             0.68869,             0.71138,             0.37361,            0.026082,            0.064415,           0.0033268,           0.0069508,           0.0069508,           0.0069508
                 156,            0.042472,            0.046389,           0.0031439,             0.73448,             0.69851,             0.70667,             0.36304,            0.026476,            0.064025,           0.0032215,            0.006931,            0.006931,            0.006931
